,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-16,0,0,54500,106200
1,2023-10-13,0,0,52600,107200
2,2023-10-12,0,0,74100,123300
3,2023-10-11,0,0,46200,128600
4,2023-10-10,0,0,68300,107600
5,2023-10-06,0,0,30900,107300
6,2023-10-05,0,0,47200,95300
7,2023-10-04,0,0,37400,96400
8,2023-10-03,0,0,82700,133400
9,2023-10-02,0.00,0,100300,89300
10,2023-09-29,0,0,90300,82300
11,2023-09-28,0,0,103000,107300
12,2023-09-27,0.00,0,105300,98300
13,2023-09-26,0.00,0,137800,128300
14,2023-09-25,0.00,0,118600,104500
15,2023-09-22,0,0,117700,155900
16,2023-09-21,0.00,1,163100,131100
17,2023-09-20,0.00,3,208900,180900
18,2023-09-19,0.05,1,522800,66700
19,2023-09-15,0.00,1,242100,130200
