,日付,信用売残,信用買残,信用倍率
0,2023-10-27,89600,738700,8.24
1,2023-10-20,80800,729700,9.03
2,2023-10-13,73200,727900,9.94
3,2023-10-06,73200,672000,9.18
4,2023-09-29,102500,624300,6.09
5,2023-09-22,138800,604400,4.35
6,2023-09-15,138300,636700,4.6
7,2023-09-08,116500,707900,6.08
8,2023-09-01,107100,787400,7.35
9,2023-08-25,85800,914200,10.66
10,2023-08-18,66800,1005700,15.06
11,2023-08-10,65400,1122400,17.16
12,2023-08-04,77400,1099400,14.2
13,2023-07-28,126300,1091200,8.64
14,2023-07-21,105200,1165200,11.08
15,2023-07-14,94300,1237400,13.12
16,2023-07-07,102000,1113600,10.92
17,2023-06-30,143800,898400,6.25
18,2023-06-23,356100,731300,2.05
19,2023-06-16,122100,689200,5.64
20,2023-06-09,124800,623800,5.0
21,2023-06-02,110400,556200,5.04
22,2023-05-26,96300,613100,6.37
23,2023-05-19,90900,619400,6.81
24,2023-05-12,105000,515600,4.91
