,日付,信用売残,信用買残,信用倍率
0,2023-10-06,2700,54100,20.04
1,2023-09-29,1500,66600,44.4
2,2023-09-22,2900,65200,22.48
3,2023-09-15,2100,56300,26.81
4,2023-09-08,2200,53400,24.27
5,2023-09-01,3100,46300,14.94
6,2023-08-25,4700,44900,9.55
7,2023-08-18,5400,42800,7.93
8,2023-08-10,7700,36200,4.7
9,2023-08-04,6200,34500,5.56
10,2023-07-28,6200,36900,5.95
11,2023-07-21,4400,37000,8.41
12,2023-07-14,3200,34700,10.84
13,2023-07-07,4800,34900,7.27
14,2023-06-30,5700,28100,4.93
15,2023-06-23,4700,23100,4.91
16,2023-06-16,4400,22500,5.11
17,2023-06-09,5700,24100,4.23
18,2023-06-02,5700,25100,4.4
19,2023-05-26,7100,19900,2.8
20,2023-05-19,3600,20000,5.56
21,2023-05-12,3900,23400,6.0
22,2023-04-28,5700,21600,3.79
23,2023-04-21,4700,23900,5.09
24,2023-04-14,6200,26100,4.21
