,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-11,2678.0,2695.0,2664.0,2669.0,423400,2669.0
1,2023-10-10,2676.5,2706.5,2671.5,2678.5,473900,2678.5
2,2023-10-06,2648.0,2666.0,2599.0,2610.0,599900,2610.0
3,2023-10-05,2625.0,2646.0,2602.0,2641.5,512500,2641.5
4,2023-10-04,2636.5,2652.0,2586.0,2609.5,609600,2609.5
5,2023-10-03,2746.0,2751.5,2692.0,2705.0,321900,2705.0
6,2023-10-02,2787.0,2830.5,2763.0,2764.0,299800,2764.0
7,2023-09-29,2792.0,2799.5,2763.0,2777.0,409800,2777.0
8,2023-09-28,2815.5,2816.5,2757.0,2791.0,481000,2791.0
9,2023-09-27,2835.0,2868.5,2818.5,2858.0,314400,2858.0
10,2023-09-26,2881.5,2889.5,2845.0,2845.0,300400,2845.0
11,2023-09-25,2868.5,2887.0,2845.5,2878.5,233500,2878.5
12,2023-09-22,2813.5,2846.5,2790.0,2828.5,388000,2828.5
13,2023-09-21,2920.0,2934.0,2860.0,2863.5,397800,2863.5
14,2023-09-20,3027.0,3028.0,2923.0,2924.0,479800,2924.0
15,2023-09-19,2985.0,3032.0,2978.5,3031.0,377600,3031.0
16,2023-09-15,2965.5,3005.0,2948.5,2997.5,400300,2997.5
17,2023-09-14,2913.5,2937.0,2897.0,2934.0,305000,2934.0
18,2023-09-13,2949.5,2949.5,2901.0,2904.0,336500,2904.0
19,2023-09-12,2942.5,2942.5,2912.0,2939.5,313300,2939.5
20,2023-09-11,2955.0,2964.0,2911.5,2925.5,315800,2925.5
21,2023-09-08,2949.5,3000.0,2947.0,2961.0,419800,2961.0
22,2023-09-07,2990.0,3010.0,2973.5,2975.0,411600,2975.0
23,2023-09-06,3030.0,3040.0,2998.0,3012.0,283700,3012.0
24,2023-09-05,3060.0,3069.0,3011.0,3036.0,345100,3036.0
