,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-03,5475,5475,5285,5344,2141800,5344.0
1,2023-10-02,5489,5663,5471,5480,2256700,5480.0
2,2023-09-29,5437,5443,5366,5395,1806000,5395.0
3,2023-09-28,5367,5410,5305,5380,1514700,5380.0
4,2023-09-27,5320,5406,5280,5399,1449100,5399.0
5,2023-09-26,5427,5459,5363,5375,1419800,5375.0
6,2023-09-25,5536,5557,5466,5477,1406500,5477.0
7,2023-09-22,5502,5547,5474,5511,1588900,5511.0
8,2023-09-21,5795,5795,5595,5602,1763900,5602.0
9,2023-09-20,5721,5860,5710,5853,1593300,5853.0
10,2023-09-19,5706,5766,5641,5761,1374500,5761.0
11,2023-09-15,5709,5783,5654,5762,1914100,5762.0
12,2023-09-14,5710,5756,5680,5701,1642200,5701.0
13,2023-09-13,5742,5795,5704,5725,843700,5725.0
14,2023-09-12,5735,5757,5680,5747,934000,5747.0
15,2023-09-11,5674,5739,5664,5708,1127800,5708.0
16,2023-09-08,5731,5759,5645,5660,1441900,5660.0
17,2023-09-07,5821,5848,5733,5764,1260800,5764.0
18,2023-09-06,5822,5876,5795,5876,1194000,5876.0
19,2023-09-05,5771,5878,5751,5845,1248100,5845.0
20,2023-09-04,5738,5775,5712,5755,1035500,5755.0
21,2023-09-01,5721,5769,5700,5748,1096100,5748.0
22,2023-08-31,5756,5784,5691,5721,1856000,5721.0
23,2023-08-30,5708,5789,5701,5763,2416700,5763.0
24,2023-08-29,5637,5662,5576,5640,1259600,5640.0
