,日付,信用売残,信用買残,信用倍率
0,2023-11-10,15200,1271900,83.68
1,2023-11-02,14700,1249800,85.02
2,2023-10-27,14500,1193200,82.29
3,2023-10-20,34700,1220500,35.17
4,2023-10-13,32200,1174700,36.48
5,2023-10-06,36100,1173700,32.51
6,2023-09-29,85300,1025800,12.03
7,2023-09-22,1334800,971400,0.73
8,2023-09-15,788500,961500,1.22
9,2023-09-08,427100,961800,2.25
10,2023-09-01,199800,982600,4.92
11,2023-08-25,109200,978000,8.96
12,2023-08-18,83500,1003100,12.01
13,2023-08-10,80300,1052500,13.11
14,2023-08-04,73300,1155100,15.76
15,2023-07-28,58600,949600,16.2
16,2023-07-21,72200,1000600,13.86
17,2023-07-14,66700,923500,13.85
18,2023-07-07,66300,901600,13.6
19,2023-06-30,54500,889000,16.31
20,2023-06-23,50000,882800,17.66
21,2023-06-16,56800,879400,15.48
22,2023-06-09,57100,872800,15.29
23,2023-06-02,38700,866000,22.38
24,2023-05-26,40600,835600,20.58
25,2023-05-19,43600,808000,18.53
