,日付,信用売残,信用買残,信用倍率
0,2023-09-29,85300,1025800,12.03
1,2023-09-22,1334800,971400,0.73
2,2023-09-15,788500,961500,1.22
3,2023-09-08,427100,961800,2.25
4,2023-09-01,199800,982600,4.92
5,2023-08-25,109200,978000,8.96
6,2023-08-18,83500,1003100,12.01
7,2023-08-10,80300,1052500,13.11
8,2023-08-04,73300,1155100,15.76
9,2023-07-28,58600,949600,16.2
10,2023-07-21,72200,1000600,13.86
11,2023-07-14,66700,923500,13.85
12,2023-07-07,66300,901600,13.6
13,2023-06-30,54500,889000,16.31
14,2023-06-23,50000,882800,17.66
15,2023-06-16,56800,879400,15.48
16,2023-06-09,57100,872800,15.29
17,2023-06-02,38700,866000,22.38
18,2023-05-26,40600,835600,20.58
19,2023-05-19,43600,808000,18.53
20,2023-05-12,31600,880000,27.85
21,2023-04-28,46400,874600,18.85
22,2023-04-21,41900,899400,21.47
23,2023-04-14,40700,902400,22.17
24,2023-04-07,31000,916600,29.57
