,日付,信用売残,信用買残,信用倍率
0,2023-11-10,3465300,21768200,6.28
1,2023-11-02,3427400,20634000,6.02
2,2023-10-27,3725400,15726100,4.22
3,2023-10-20,3942200,15091300,3.83
4,2023-10-13,4385400,13073100,2.98
5,2023-10-06,4454700,12022700,2.7
6,2023-09-29,5627300,8831300,1.57
7,2023-09-22,5605700,9915200,1.77
8,2023-09-15,5785800,8796700,1.52
9,2023-09-08,5226400,11346000,2.17
10,2023-09-01,5145000,12153900,2.36
11,2023-08-25,5091600,13098700,2.57
12,2023-08-18,5205300,12709700,2.44
13,2023-08-10,5728300,11788500,2.06
14,2023-08-04,5800200,11926200,2.06
15,2023-07-28,5867300,13375500,2.28
16,2023-07-21,4897600,17285800,3.53
17,2023-07-14,4288600,20466700,4.77
18,2023-07-07,4634500,19556500,4.22
19,2023-06-30,4474900,20135900,4.5
20,2023-06-23,3876600,23019400,5.94
21,2023-06-16,4295600,22359500,5.21
22,2023-06-09,4373500,22801300,5.21
23,2023-06-02,3776100,27986200,7.41
24,2023-05-26,3589200,27233600,7.59
25,2023-05-19,3938800,28359700,7.2
