,日付,信用売残,信用買残,信用倍率
0,2023-10-27,55500,151600,2.73
1,2023-10-20,76300,104100,1.36
2,2023-10-13,78700,97800,1.24
3,2023-10-06,82300,111600,1.36
4,2023-09-29,74500,116600,1.57
5,2023-09-22,80100,110200,1.38
6,2023-09-15,81100,100500,1.24
7,2023-09-08,91500,81500,0.89
8,2023-09-01,90000,73100,0.81
9,2023-08-25,84900,51900,0.61
10,2023-08-18,82500,53300,0.65
11,2023-08-10,97300,62800,0.65
12,2023-08-04,89900,74900,0.83
13,2023-07-28,114700,92800,0.81
14,2023-07-21,110300,63200,0.57
15,2023-07-14,116200,59200,0.51
16,2023-07-07,116100,54900,0.47
17,2023-06-30,123800,62000,0.5
18,2023-06-23,106800,41800,0.39
19,2023-06-16,104800,51100,0.49
20,2023-06-09,109400,54200,0.5
21,2023-06-02,163500,42700,0.26
22,2023-05-26,164600,40500,0.25
23,2023-05-19,159600,45600,0.29
24,2023-05-12,113900,48800,0.43
