,日付,信用売残,信用買残,信用倍率
0,2023-10-13,34300,564400,16.45
1,2023-10-06,30900,566400,18.33
2,2023-09-29,38600,539600,13.98
3,2023-09-22,36000,494000,13.72
4,2023-09-15,45500,397200,8.73
5,2023-09-08,60100,367500,6.11
6,2023-09-01,56000,293100,5.23
7,2023-08-25,34400,379600,11.03
8,2023-08-18,33700,348600,10.34
9,2023-08-10,42300,306700,7.25
10,2023-08-04,38000,408100,10.74
11,2023-07-28,41900,398600,9.51
12,2023-07-21,56800,390800,6.88
13,2023-07-14,56800,383600,6.75
14,2023-07-07,59900,366000,6.11
15,2023-06-30,65600,306700,4.68
16,2023-06-23,79000,320300,4.05
17,2023-06-16,67300,303000,4.5
18,2023-06-09,99100,333600,3.37
19,2023-06-02,77300,316300,4.09
20,2023-05-26,60100,375700,6.25
21,2023-05-19,63500,481800,7.59
22,2023-05-12,55400,617200,11.14
23,2023-04-28,54900,647700,11.8
24,2023-04-21,57500,646900,11.25
