,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-03,6091,6100,5924,5936,1604800,5936.0
1,2023-10-02,6202,6248,6106,6114,1224300,6114.0
2,2023-09-29,6282,6309,6137,6185,1892000,6185.0
3,2023-09-28,6440,6440,6284,6293,1739200,6293.0
4,2023-09-27,6500,6531,6441,6522,1175000,6522.0
5,2023-09-26,6526,6568,6482,6529,684400,6529.0
6,2023-09-25,6501,6551,6501,6509,803000,6509.0
7,2023-09-22,6500,6536,6462,6497,638000,6497.0
8,2023-09-21,6580,6585,6514,6518,839600,6518.0
9,2023-09-20,6580,6610,6536,6591,844700,6591.0
10,2023-09-19,6596,6600,6514,6570,1083100,6570.0
11,2023-09-15,6569,6630,6519,6605,1535600,6605.0
12,2023-09-14,6539,6570,6493,6537,909200,6537.0
13,2023-09-13,6416,6512,6401,6501,984500,6501.0
14,2023-09-12,6375,6445,6357,6378,894200,6378.0
15,2023-09-11,6443,6461,6331,6344,1050400,6344.0
16,2023-09-08,6457,6485,6382,6390,1428600,6390.0
17,2023-09-07,6450,6517,6433,6507,2133400,6507.0
18,2023-09-06,6449,6455,6382,6411,1144600,6411.0
19,2023-09-05,6390,6449,6374,6439,1180900,6439.0
20,2023-09-04,6403,6411,6356,6392,1217200,6392.0
21,2023-09-01,6242,6373,6240,6362,1493600,6362.0
22,2023-08-31,6149,6318,6149,6304,2730100,6304.0
23,2023-08-30,6092,6158,6086,6140,1001400,6140.0
24,2023-08-29,6065,6128,6065,6121,1106000,6121.0
