,日付,信用売残,信用買残,信用倍率
0,2023-09-15,317700,632100,1.99
1,2023-09-08,325000,676200,2.08
2,2023-09-01,337800,639600,1.89
3,2023-08-25,274800,771400,2.81
4,2023-08-18,321500,721100,2.24
5,2023-08-10,386000,633800,1.64
6,2023-08-04,410500,634100,1.54
7,2023-07-28,493000,419000,0.85
8,2023-07-21,512100,494400,0.97
9,2023-07-14,527000,507800,0.96
10,2023-07-07,643800,448400,0.7
11,2023-06-30,694100,241000,0.35
12,2023-06-23,693800,250400,0.36
13,2023-06-16,762300,199500,0.26
14,2023-06-09,803600,230600,0.29
15,2023-06-02,801600,235900,0.29
16,2023-05-26,797400,178700,0.22
17,2023-05-19,816900,186100,0.23
18,2023-05-12,745100,171200,0.23
19,2023-04-28,745500,310900,0.42
20,2023-04-21,781500,284400,0.36
21,2023-04-14,819100,278600,0.34
22,2023-04-07,831800,287000,0.35
23,2023-03-31,869600,211300,0.24
