,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-09-01,1550,1584,1541,1575,373500,1575.0
1,2023-08-31,1614,1624,1579,1579,540600,1579.0
2,2023-08-30,1662,1672,1628,1630,290800,1630.0
3,2023-08-29,1609,1664,1609,1634,382600,1634.0
4,2023-08-28,1600,1630,1573,1618,433000,1618.0
5,2023-08-25,1573,1631,1552,1622,571100,1622.0
6,2023-08-24,1594,1608,1541,1596,619600,1596.0
7,2023-08-23,1529,1605,1522,1594,721400,1594.0
8,2023-08-22,1480,1543,1479,1535,691000,1535.0
9,2023-08-21,1432,1546,1432,1476,907500,1476.0
10,2023-08-18,1456,1481,1426,1460,533500,1460.0
11,2023-08-17,1510,1520,1456,1471,571200,1471.0
12,2023-08-16,1574,1578,1512,1532,575800,1532.0
13,2023-08-15,1605,1619,1578,1590,460200,1590.0
14,2023-08-14,1523,1615,1515,1605,1477500,1605.0
15,2023-08-10,1680,1718,1665,1692,556800,1692.0
16,2023-08-09,1663,1684,1659,1668,216100,1668.0
17,2023-08-08,1726,1726,1668,1680,243400,1680.0
18,2023-08-07,1677,1739,1676,1726,323000,1726.0
19,2023-08-04,1675,1703,1663,1692,211700,1692.0
20,2023-08-03,1705,1711,1663,1672,330200,1672.0
21,2023-08-02,1714,1749,1713,1716,255400,1716.0
22,2023-08-01,1750,1763,1711,1725,313500,1725.0
23,2023-07-31,1820,1820,1757,1767,295300,1767.0
24,2023-07-28,1795,1816,1752,1816,759500,1816.0
