,日付,信用売残,信用買残,信用倍率
0,2023-08-25,109200,978000,8.96
1,2023-08-18,83500,1003100,12.01
2,2023-08-10,80300,1052500,13.11
3,2023-08-04,73300,1155100,15.76
4,2023-07-28,58600,949600,16.2
5,2023-07-21,72200,1000600,13.86
6,2023-07-14,66700,923500,13.85
7,2023-07-07,66300,901600,13.6
8,2023-06-30,54500,889000,16.31
9,2023-06-23,50000,882800,17.66
10,2023-06-16,56800,879400,15.48
11,2023-06-09,57100,872800,15.29
12,2023-06-02,38700,866000,22.38
13,2023-05-26,40600,835600,20.58
14,2023-05-19,43600,808000,18.53
15,2023-05-12,31600,880000,27.85
16,2023-04-28,46400,874600,18.85
17,2023-04-21,41900,899400,21.47
18,2023-04-14,40700,902400,22.17
19,2023-04-07,31000,916600,29.57
20,2023-03-31,37400,897900,24.01
21,2023-03-24,751800,822900,1.09
22,2023-03-17,411600,955300,2.32
23,2023-03-10,265000,955500,3.61
24,2023-03-03,123600,929600,7.52
