,Unnamed: 0,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,0,2023-08-30,567.0,567.6,562.3,564.3,9319200.0,564.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2023-08-29,564.1,565.0,558.8,559.3,7672000.0,559.3,0.0,0.0,0.0,0.0,0.0,377000.0,513600.0
2,2,2023-08-28,560.1,566.3,557.3,561.7,7185900.0,561.7,0.0,0.0,0.0,0.0,0.0,369900.0,365100.0
3,3,2023-08-25,548.2,554.2,545.5,552.3,5407100.0,552.3,5091600.0,13098700.0,2.57,0.0,0.0,370500.0,362500.0
4,4,2023-08-24,552.7,553.4,544.5,551.0,8435800.0,551.0,0.0,0.0,0.0,0.0,0.0,370700.0,485400.0
5,5,2023-08-23,551.0,561.5,548.3,557.5,8258200.0,557.5,0.0,0.0,0.0,0.0,0.0,398700.0,389700.0
6,6,2023-08-22,559.2,559.8,551.3,557.1,8854900.0,557.1,0.0,0.0,0.0,0.0,0.0,398800.0,390900.0
7,7,2023-08-21,557.4,560.8,550.1,551.9,8011600.0,551.9,0.0,0.0,0.0,0.0,0.0,370200.0,358200.0
8,8,2023-08-18,550.9,560.5,550.1,557.4,9996700.0,557.4,5205300.0,12709700.0,2.44,0.0,0.0,381200.0,393000.0
9,9,2023-08-17,561.5,562.0,544.2,558.7,11180500.0,558.7,0.0,0.0,0.0,0.0,0.0,362000.0,389700.0
10,10,2023-08-16,560.0,560.9,550.3,551.5,10284800.0,551.5,0.0,0.0,0.0,0.0,0.0,344200.0,552000.0
11,11,2023-08-15,574.5,574.7,565.2,566.1,7013000.0,566.1,0.0,0.0,0.0,0.0,0.0,354600.0,354700.0
12,12,2023-08-14,574.9,575.9,564.7,565.9,9843900.0,565.9,0.0,0.0,0.0,0.0,0.0,347500.0,504900.0
13,13,2023-08-10,568.4,577.7,567.0,574.2,7344200.0,574.2,5728300.0,11788500.0,2.06,0.0,0.0,339400.0,341300.0
14,14,2023-08-09,571.4,573.9,565.2,572.4,7985900.0,572.4,0.0,0.0,0.0,0.0,0.0,342700.0,344600.0
15,15,2023-08-08,575.4,587.9,574.6,576.3,12767000.0,576.3,0.0,0.0,0.0,0.0,0.0,343300.0,343900.0
16,16,2023-08-07,570.0,570.7,561.6,568.0,11980800.0,568.0,0.0,0.0,0.0,0.0,0.0,346200.0,567800.0
17,17,2023-08-04,567.8,578.5,566.1,577.0,9342200.0,577.0,5800200.0,11926200.0,2.06,0.0,0.0,369000.0,358600.0
18,18,2023-08-03,574.9,575.9,567.0,572.0,11973500.0,572.0,0.0,0.0,0.0,0.0,0.0,357500.0,469200.0
19,19,2023-08-02,588.0,595.8,580.5,580.5,17516900.0,580.5,0.0,0.0,0.0,0.0,0.0,394100.0,1104100.0
20,20,2023-08-01,578.2,599.9,572.5,597.9,23374300.0,597.9,0.0,0.0,0.0,0.0,1.0,883300.0,343600.0
21,21,2023-07-31,571.8,573.5,565.6,571.6,16547500.0,571.6,0.0,0.0,0.0,0,0,339500.0,446700.0
22,22,2023-07-28,553.2,566.0,542.3,556.0,28814300.0,556.0,5867300.0,13375500.0,2.28,0,0,348900.0,636600.0
23,23,2023-07-27,582.1,582.4,555.3,563.2,21819500.0,563.2,0.0,0.0,0.0,0,0,455000.0,967700.0
24,24,2023-07-26,574.2,582.0,563.5,576.4,27031300.0,576.4,0.0,0.0,0.0,0,3,577400.0,467000.0
25,25,2023-07-25,545.0,586.9,543.6,584.2,57694900.0,584.2,0.0,0.0,0.0,0,1,1186500.0,300400.0
26,26,2023-07-24,532.0,566.8,531.8,544.8,69530500.0,544.8,0.0,0.0,0.0,0,0,482500.0,367200.0
27,27,2023-07-21,519.8,522.7,513.6,518.9,16035800.0,518.9,4897600.0,17285800.0,3.53,0,0,213100.0,322600.0
28,28,2023-07-20,512.0,519.9,509.0,511.0,13240400.0,511.0,0.0,0.0,0.0,0,0,169600.0,382600.0
29,29,2023-07-19,502.0,512.1,500.5,512.1,16817800.0,512.1,0.0,0.0,0.0,0,0,169100.0,388900.0
30,30,2023-07-18,490.3,497.3,486.3,495.4,10758900.0,495.4,0.0,0.0,0.0,0,0,157100.0,434400.0
31,31,2023-07-14,490.7,494.0,482.2,488.8,12733500.0,488.8,4288600.0,20466700.0,4.77,0,0,151500.0,460400.0
32,32,2023-07-13,499.6,499.6,488.4,490.1,16287900.0,490.1,0.0,0.0,0.0,0,0,122500.0,461000.0
33,33,2023-07-12,518.6,518.9,501.0,501.6,14032500.0,501.6,0.0,0.0,0.0,0,0,156500.0,585400.0
34,34,2023-07-11,510.0,524.6,506.5,516.2,32773400.0,516.2,0.0,0.0,0.0,0,0,157900.0,324400.0
35,35,2023-07-10,506.7,508.0,495.3,499.1,14826900.0,499.1,0.0,0.0,0.0,0,0,6300.0,380800.0
36,36,2023-07-07,505.6,508.9,499.7,503.3,13659400.0,503.3,4634500.0,19556500.0,4.22,0,0,65200.0,340900.0
37,37,2023-07-06,507.0,518.5,504.1,506.8,15743700.0,506.8,0.0,0.0,0.0,0,0,64500.0,348900.0
38,38,2023-07-05,509.0,509.0,501.1,508.1,13459700.0,508.1,0.0,0.0,0.0,0,0,61800.0,329200.0
39,39,2023-07-04,516.4,522.9,509.5,510.7,15802600.0,510.7,0.0,0.0,0.0,0,0,76700.0,365800.0
40,40,2023-07-03,507.4,519.6,503.5,514.4,21106600.0,514.4,0.0,0.0,0.0,0,0,24400.0,298100.0
41,41,2023-06-30,504.9,506.0,492.1,501.1,23734500.0,501.1,4474900.0,20135900.0,4.5,0,0,81100.0,465300.0
42,42,2023-06-29,490.8,501.0,490.8,499.9,20544800.0,499.9,0.0,0.0,0.0,0,0,14900.0,403400.0
43,43,2023-06-28,484.8,488.8,478.6,488.4,16876900.0,488.4,0.0,0.0,0.0,0,0,23300.0,386200.0
44,44,2023-06-27,482.0,485.2,477.9,479.5,12466700.0,479.5,0.0,0.0,0.0,0,0,2800.0,387400.0
45,45,2023-06-26,477.5,478.5,471.3,475.9,9597500.0,475.9,0.0,0.0,0.0,0,0,2800.0,395600.0
46,46,2023-06-23,489.0,494.3,474.3,477.1,21700500.0,477.1,3876600.0,23019400.0,5.94,0,0,2800.0,395700.0
47,47,2023-06-22,486.2,490.9,483.9,484.7,13513500.0,484.7,0.0,0.0,0.0,0,0,2800.0,389600.0
48,48,2023-06-21,482.7,490.5,480.1,488.7,14294800.0,488.7,0.0,0.0,0.0,0,0,3800.0,433000.0
49,49,2023-06-20,487.9,490.1,482.6,489.1,13406800.0,489.1,0.0,0.0,0.0,0,0,2800.0,436000.0
