,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-15,759.0,759.0,753.0,753.0,214800.0,753.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-09-14,755.0,757.0,753.0,753.0,273500.0,753.0,0.0,0.0,0.0,-,-,3000.0,11800.0
2,2023-09-13,756.0,756.0,751.0,755.0,201300.0,755.0,0.0,0.0,0.0,-,-,1900.0,11900.0
3,2023-09-12,750.0,756.0,750.0,755.0,258400.0,755.0,0.0,0.0,0.0,-,-,1900.0,11600.0
4,2023-09-11,755.0,764.0,751.0,755.0,295400.0,755.0,0.0,0.0,0.0,-,-,1000.0,11400.0
5,2023-09-08,754.0,759.0,744.0,746.0,343100.0,746.0,427100.0,961800.0,2.25,-,-,1000.0,11400.0
6,2023-09-07,743.0,757.0,742.0,754.0,331000.0,754.0,0.0,0.0,0.0,-,-,700.0,11300.0
7,2023-09-06,746.0,747.0,741.0,744.0,175500.0,744.0,0.0,0.0,0.0,-,-,0.0,12400.0
8,2023-09-05,747.0,747.0,741.0,746.0,259000.0,746.0,0.0,0.0,0.0,-,-,500.0,12700.0
9,2023-09-04,734.0,746.0,733.0,746.0,280100.0,746.0,0.0,0.0,0.0,-,-,500.0,7600.0
10,2023-09-01,727.0,730.0,725.0,730.0,214600.0,730.0,199800.0,982600.0,4.92,-,-,400.0,7800.0
11,2023-08-31,724.0,730.0,722.0,727.0,171500.0,727.0,0.0,0.0,0.0,-,-,400.0,7700.0
12,2023-08-30,720.0,724.0,719.0,721.0,200100.0,721.0,0.0,0.0,0.0,-,-,400.0,7700.0
13,2023-08-29,720.0,722.0,718.0,722.0,200500.0,722.0,0.0,0.0,0.0,-,-,400.0,8500.0
14,2023-08-28,725.0,728.0,717.0,720.0,260200.0,720.0,0.0,0.0,0.0,-,-,400.0,8400.0
15,2023-08-25,715.0,723.0,713.0,720.0,262700.0,720.0,109200.0,978000.0,8.96,-,-,100.0,9600.0
16,2023-08-24,703.0,719.0,700.0,718.0,300100.0,718.0,0.0,0.0,0.0,-,-,0.0,9600.0
17,2023-08-23,692.0,703.0,691.0,702.0,296400.0,702.0,0.0,0.0,0.0,-,-,0.0,9600.0
18,2023-08-22,682.0,689.0,682.0,689.0,167500.0,689.0,0.0,0.0,0.0,-,-,0.0,9500.0
19,2023-08-21,675.0,684.0,674.0,681.0,171900.0,681.0,0.0,0.0,0.0,-,-,0.0,9800.0
20,2023-08-18,673.0,674.0,668.0,671.0,265900.0,671.0,83500.0,1003100.0,12.01,-,-,0.0,10100.0
21,2023-08-17,679.0,681.0,672.0,676.0,224800.0,676.0,0.0,0.0,0.0,-,-,0.0,9200.0
22,2023-08-16,673.0,675.0,670.0,674.0,157400.0,674.0,0.0,0.0,0.0,-,-,0.0,5900.0
23,2023-08-15,676.0,678.0,672.0,675.0,196400.0,675.0,0.0,0.0,0.0,0,0,0.0,0.0
24,2023-08-14,682.0,683.0,673.0,675.0,351300.0,675.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-08-10,0.0,0.0,0.0,0.0,0.0,0.0,80300.0,1052500.0,13.11,0,0,0.0,0.0
26,2023-08-04,0.0,0.0,0.0,0.0,0.0,0.0,73300.0,1155100.0,15.76,0,0,0.0,0.0
27,2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,58600.0,949600.0,16.2,0,0,0.0,0.0
28,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,72200.0,1000600.0,13.86,0,0,0.0,0.0
29,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,66700.0,923500.0,13.85,0,0,0.0,0.0
30,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,66300.0,901600.0,13.6,0,0,0.0,0.0
31,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,54500.0,889000.0,16.31,0,0,0.0,0.0
32,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,882800.0,17.66,0,0,0.0,0.0
33,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,56800.0,879400.0,15.48,0,0,0.0,0.0
34,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,57100.0,872800.0,15.29,0,0,0.0,0.0
35,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,38700.0,866000.0,22.38,0,0,0.0,0.0
36,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,40600.0,835600.0,20.58,0,0,0.0,0.0
37,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,43600.0,808000.0,18.53,0,0,0.0,0.0
38,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,31600.0,880000.0,27.85,0,0,0.0,0.0
39,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,46400.0,874600.0,18.85,0,0,0.0,0.0
40,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,41900.0,899400.0,21.47,0,0,0.0,0.0
41,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,40700.0,902400.0,22.17,0,0,0.0,0.0
42,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,916600.0,29.57,0,0,0.0,0.0
43,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,37400.0,897900.0,24.01,0,0,0.0,0.0
44,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,751800.0,822900.0,1.09,0,0,0.0,0.0
